Time,Input,Output,Reference
0.76,-1,100.6008142,50.30040709
0.765,-1,100.7218146,50.3609073
0.77,-1,100.3906556,50.19532778
0.775,-1,99.84933792,49.92466896
0.78,-1,99.05328258,49.52664129
0.785,-1,97.45480342,48.72740171
0.79,-1,95.87542958,47.93771479
0.795,-1,94.20689756,47.10344878
0.8,-1,92.36641758,46.18320879
0.805,-1,91.12457122,45.56228561
0.81,-1,89.15035394,44.57517697
0.815,-1,87.26529486,43.63264743
0.82,-1,85.354762,42.677381
0.825,-1,83.2149652,41.6074826
0.83,-1,81.22801104,40.61400552
0.835,-1,79.36842572,39.68421286
0.84,-1,77.41331378,38.70665689
0.845,-1,75.31809608,37.65904804
0.85,-1,73.24835216,36.62417608
0.855,-1,71.68171522,35.84085761
0.86,-1,69.35723358,34.67861679
0.865,-1,67.45306916,33.72653458
0.87,-1,65.41516746,32.70758373
0.875,-1,63.46642394,31.73321197
0.88,-1,61.4094169,30.70470845
0.885,-1,59.21230412,29.60615206
0.89,-1,57.55650898,28.77825449
0.895,-1,55.87524006,27.93762003
0.9,-1,53.62717974,26.81358987
0.905,-1,51.64659402,25.82329701
0.91,-1,49.58958698,24.79479349
0.915,-1,47.5580537,23.77902685
0.92,-1,45.6538893,22.82694465
0.925,-1,43.77519866,21.88759933
0.93,-1,41.67998096,20.83999048
0.935,-1,39.58476326,19.79238163
0.94,-1,37.4194927,18.70974635
0.945,-1,35.48348606,17.74174303
0.95,-1,33.50926878,16.75463439
0.955,-1,31.4013142,15.7006571
0.96,-1,29.47167602,14.73583801
0.965,-1,27.357353,13.6786765
0.97,-1,25.43408326,12.71704163
0.975,-1,23.22423358,11.61211679
0.98,-1,21.17996344,10.58998172
0.985,-1,19.00195598,9.500977989
0.99,-1,16.84305385,8.421526926
0.995,-1,14.87520501,7.437602506
1,1,12.90735617,6.453678087
1.005,1,11.00319176,5.501595881
1.01,1,10.28355772,5.14177886
1.015,1,10.00334623,5.001673117
1.02,1,10.50645322,5.25322661
1.025,1,11.2324557,5.616227852
1.03,1,12.67809223,6.339046115
1.035,1,14.07914966,7.039574828
1.04,1,15.21273248,7.606366242
1.045,1,17.18694977,8.593474883
1.05,1,18.93190311,9.465951553
1.055,1,20.91885728,10.45942864
1.06,1,22.93765366,11.46882683
1.065,1,24.8163443,12.40817215
1.07,1,26.6313505,13.31567525
1.075,1,28.70746288,14.35373144
1.08,1,30.63710106,15.31855053
1.085,1,32.66226588,16.33113294
1.09,1,34.82753646,17.41376823
1.095,1,36.68712176,18.34356088
1.1,1,38.91607676,19.45803838
1.105,1,40.7947674,20.3973837
1.11,1,43.13198592,21.56599296
1.115,1,44.80051796,22.40025898
1.12,1,47.00399918,23.50199959
1.125,1,48.86995294,24.43497647
1.13,1,51.19443458,25.59721729
1.135,1,53.14954652,26.57477326
1.14,1,55.26386956,27.63193478
1.145,1,57.28266594,28.64133297
1.15,1,58.80472378,29.40236189
1.155,1,61.09099476,30.54549738
1.16,1,63.22442312,31.61221156
1.165,1,65.09037686,32.54518843
1.17,1,67.31296342,33.65648171
1.175,1,69.20439094,34.60219547
1.18,1,71.59892546,35.79946273
1.185,1,73.3884579,36.69422895
1.19,1,75.4390965,37.71954825
1.195,1,77.43878754,38.71939377
1.2,1,79.56584746,39.78292373
1.205,1,81.54643318,40.77321659
1.21,1,83.52065046,41.76032523
1.215,1,85.7559739,42.87798695
1.22,1,87.92124448,43.96062224
1.225,1,89.91456708,44.95728354
1.23,1,91.80599462,45.90299731
1.235,1,93.8120541,46.90602705
1.24,1,95.9518509,47.97592545
1.245,1,98.11712148,49.05856074
1.25,-1,100.123181,50.06159048
1.255,-1,101.7025548,50.8512774
1.26,-1,102.3648729,51.18243643
1.265,-1,102.5304524,51.26522618
1.27,-1,102.3393991,51.16969954
1.275,-1,101.4223433,50.71117165
1.28,-1,100.6071826,50.30359131
1.285,-1,99.51181046,49.75590523
1.29,-1,97.9579104,48.9789552
1.295,-1,96.16837796,48.08418898
1.3,-1,94.4043193,47.20215965
1.305,-1,92.45557578,46.22778789
1.31,-1,91.04814992,45.52407496
1.315,-1,88.91472156,44.45736078
1.32,-1,87.09971534,43.54985767
1.325,-1,84.97265544,42.48632772
1.33,-1,82.8710693,41.43553465
1.335,-1,80.83953602,40.41976801
1.34,-1,79.03089826,39.51544913
1.345,-1,76.82741704,38.41370852
1.35,-1,74.8149891,37.40749455
1.355,-1,72.84077182,36.42038591
1.36,-1,70.91113362,35.45556681
1.365,-1,68.76496838,34.38248419
1.37,-1,66.90538308,33.45269154
1.375,-1,64.67642808,32.33821404
1.38,-1,62.55573662,31.27786831
1.385,-1,60.68978286,30.34489143
1.39,-1,58.54361762,29.27180881
1.395,-1,56.9069278,28.4534639
1.4,-1,54.71618346,27.35809173
1.405,-1,52.88207192,26.44103596
1.41,-1,50.65948538,25.32974269
1.415,-1,48.6279521,24.31397605
1.42,-1,46.60915572,23.30457786
1.425,-1,44.35472696,22.17736348
1.43,-1,42.52698386,21.26349193
1.435,-1,40.3935555,20.19677775
1.44,-1,38.4002329,19.20011645
1.445,-1,36.3495943,18.17479715
1.45,-1,34.17795528,17.08897764
1.455,-1,32.203738,16.101869
1.46,-1,30.16583628,15.08291814
1.465,-1,28.0260395,14.01301975
1.47,-1,26.14098042,13.07049021
1.475,-1,23.94386762,11.97193381
1.48,-1,21.71491264,10.85745632
1.485,-1,19.57511583,9.787557917
1.49,-1,17.36526617,8.682633083
1.495,-1,15.28278536,7.641392678
1.5,1,13.37862094,6.689310472
1.505,1,11.56361473,5.781807366
1.51,1,10.93950733,5.469753667
1.515,1,10.86308602,5.43154301
1.52,1,10.98408643,5.492043217
1.525,1,11.92661597,5.963307987
1.53,1,13.07930413,6.539652065
1.535,1,14.46125623,7.230628114
1.54,1,15.72220791,7.861103956
1.545,1,17.57542478,8.78771239
1.55,1,19.27579902,9.63789951
1.555,1,21.37101672,10.68550836
1.56,1,23.3898131,11.69490655
1.565,1,25.38950416,12.69475208
1.57,1,27.00708864,13.50354432
1.575,1,29.24241208,14.62120604
1.58,1,31.05741828,15.52870914
1.585,1,33.07621468,16.53810734
1.59,1,35.01858974,17.50929487
1.595,1,37.24754474,18.62377237
1.6,1,39.25997268,19.62998634
1.605,1,41.17687398,20.58843699
1.61,1,43.50772406,21.75386203
1.615,1,45.2526774,22.6263387
1.62,1,47.28421066,23.64210533
1.625,1,49.25842794,24.62921397
1.63,1,51.46827762,25.73413881
1.635,1,53.56349532,26.78174766
1.64,1,55.70966056,27.85483028
1.645,1,57.499193,28.7495965
1.65,1,59.14225124,29.57112562
1.655,1,61.3648378,30.6824189
1.66,1,63.57468746,31.78734373
1.665,1,65.4979572,32.7489786
1.67,1,67.66322778,33.83161389
1.675,1,69.56102374,34.78051187
1.68,1,71.91097916,35.95548958
1.685,1,73.5986165,36.79930825
1.69,1,75.70020264,37.85010132
1.695,1,77.7890519,38.89452595
1.7,1,79.73779542,39.86889771
1.705,1,81.85211844,40.92605922
1.71,1,83.90912548,41.95456274
1.715,1,85.97250096,42.98625048
1.72,1,88.15687686,44.07843843
1.725,1,90.18204168,45.09102084
1.73,1,92.06710076,46.03355038
1.735,1,94.17505534,47.08752767
1.74,1,96.31485214,48.15742607
1.745,1,98.44191206,49.22095603
1.75,-1,100.2505498,50.12527491
1.755,-1,101.8745028,50.93725138
1.76,-1,102.6323475,51.31617373
1.765,-1,102.9189274,51.45946369
1.77,-1,102.4667679,51.23338397
1.775,-1,101.5497122,50.77485608
1.78,-1,100.8237097,50.41185484
1.785,-1,99.56912644,49.78456322
1.79,-1,98.0024895,49.00124475
1.795,-1,96.15564108,48.07782054
1.8,-1,94.55079348,47.27539674
1.805,-1,92.50015488,46.25007744
1.81,-1,91.09272902,45.54636451
1.815,-1,89.03572198,44.51786099
1.82,-1,87.17613666,43.58806833
1.825,-1,84.97902388,42.48951194
1.83,-1,82.90927996,41.45463998
1.835,-1,80.83316758,40.41658379
