Time,Input,Output,Reference
0,1,2.648533485,2.648533485
0.005,1,2.699481028,2.699481028
0.01,1,2.880981649,2.880981649
0.015,1,3.35224642,3.35224642
0.02,1,3.982722262,3.982722262
0.025,1,4.718277411,4.718277411
0.03,1,5.332832145,5.332832145
0.035,1,6.224414144,6.224414144
0.04,1,7.170127907,7.170127907
0.045,1,7.953446377,7.953446377
0.05,1,8.972397233,8.972397233
0.055,1,9.908558331,9.908558331
0.06,1,10.88929853,10.88929853
0.065,1,11.81272274,11.81272274
0.07,1,12.93993713,12.93993713
0.075,1,13.77101892,13.77101892
0.08,1,14.89504908,14.89504908
0.085,1,15.80573641,15.80573641
0.09,1,16.80239771,16.80239771
0.095,1,17.79269058,17.79269058
0.1,1,18.79890455,18.79890455
0.105,1,19.82422384,19.82422384
0.11,1,20.92914868,20.92914868
0.115,1,21.89078355,21.89078355
0.12,1,22.74097067,22.74097067
0.125,1,23.74400042,23.74400042
0.13,1,24.80434615,24.80434615
0.135,1,25.77234946,25.77234946
0.14,1,26.83906364,26.83906364
0.145,1,27.9025936,27.9025936
0.15,1,28.8100967,28.8100967
0.155,1,29.56475718,29.56475718
0.16,1,30.67286624,30.67286624
0.165,1,31.71410664,31.71410664
0.17,1,32.66937307,32.66937307
0.175,1,33.72335036,33.72335036
0.18,1,34.64359035,34.64359035
0.185,1,35.82812072,35.82812072
0.19,1,36.7610976,36.7610976
0.195,1,37.67815337,37.67815337
0.2,1,38.64297246,38.64297246
0.205,1,39.66510754,39.66510754
0.21,1,40.70634794,40.70634794
0.215,1,41.65843015,41.65843015
0.22,1,42.72832855,42.72832855
0.225,1,43.81096383,43.81096383
0.23,1,44.86812534,44.86812534
0.235,1,45.77562845,45.77562845
0.24,1,46.68631578,46.68631578
0.245,1,47.67979286,47.67979286
0.25,-1,48.76242814,48.76242814
0.255,-1,49.28145624,49.28145624
0.26,-1,49.86098453,49.86098453
0.265,-1,49.93422163,49.93422163
0.27,-1,49.82914232,49.82914232
0.275,-1,49.52664129,49.52664129
0.28,-1,48.91208655,48.91208655
0.285,-1,48.19245251,48.19245251
0.29,-1,47.37729182,47.37729182
0.295,-1,46.55257848,46.55257848
0.3,-1,45.73741779,45.73741779
0.305,-1,44.96683621,44.96683621
0.31,-1,44.09117531,44.09117531
0.315,-1,43.04038225,43.04038225
0.32,-1,41.9927734,41.9927734
0.325,-1,41.11074406,41.11074406
0.33,-1,40.13955653,40.13955653
0.335,-1,39.16836899,39.16836899
0.34,-1,38.1876288,38.1876288
0.345,-1,37.22599393,37.22599393
0.35,-1,36.20067463,36.20067463
0.355,-1,35.25496086,35.25496086
0.36,-1,34.25829956,34.25829956
0.365,-1,33.34124379,33.34124379
0.37,-1,32.26816117,32.26816117
0.375,-1,31.18871011,31.18871011
0.38,-1,30.35125987,30.35125987
0.385,-1,29.29091414,29.29091414
0.39,-1,28.44709546,28.44709546
0.395,-1,27.45043415,27.45043415
0.4,-1,26.48243084,26.48243084
0.405,-1,25.46666421,25.46666421
0.41,-1,24.41587114,24.41587114
0.415,-1,23.42557827,23.42557827
0.42,-1,22.4034432,22.4034432
0.425,-1,21.50549276,21.50549276
0.43,-1,20.41648903,20.41648903
0.435,-1,19.49943326,19.49943326
0.44,-1,18.40724531,18.40724531
0.445,-1,17.439242,17.439242
0.45,-1,16.40437004,16.40437004
0.455,-1,15.35994541,15.35994541
0.46,-1,14.39512632,14.39512632
0.465,-1,13.35707013,13.35707013
0.47,-1,12.48459346,12.48459346
0.475,-1,11.38922129,11.38922129
0.48,-1,10.34798089,10.34798089
0.485,-1,9.319477368,9.319477368
0.49,-1,8.243210527,8.243210527
0.495,-1,7.291128321,7.291128321
0.5,1,6.288098572,6.288098572
0.505,1,5.457016781,5.457016781
0.51,1,5.081278653,5.081278653
0.515,1,5.039883774,5.039883774
0.52,1,5.138594639,5.138594639
0.525,1,5.635333181,5.635333181
0.53,1,6.262624801,6.262624801
0.535,1,6.947232407,6.947232407
0.54,1,7.660498006,7.660498006
0.545,1,8.443816476,8.443816476
0.55,1,9.453214668,9.453214668
0.555,1,10.31932289,10.31932289
0.56,1,11.32872109,11.32872109
0.565,1,12.27125063,12.27125063
0.57,1,13.21059595,13.21059595
0.575,1,14.15312549,14.15312549
0.58,1,15.11157614,15.11157614
0.585,1,16.12097433,16.12097433
0.59,1,17.13355674,17.13355674
0.595,1,18.08882317,18.08882317
0.6,1,19.18419534,19.18419534
0.605,1,20.19996197,20.19996197
0.61,1,21.25712349,21.25712349
0.615,1,22.12004749,22.12004749
0.62,1,23.17084056,23.17084056
0.625,1,24.22800207,24.22800207
0.63,1,25.20555805,25.20555805
0.635,1,26.1640087,26.1640087
0.64,1,27.23709132,27.23709132
0.645,1,28.21783152,28.21783152
0.65,1,29.04254487,29.04254487
0.655,1,30.08060105,30.08060105
0.66,1,31.03268326,31.03268326
0.665,1,32.17263453,32.17263453
0.67,1,33.1342694,33.1342694
0.675,1,34.15003603,34.15003603
0.68,1,35.13396045,35.13396045
0.685,1,36.18475352,36.18475352
0.69,1,37.18778327,37.18778327
0.695,1,38.10483904,38.10483904
0.7,1,39.21931654,39.21931654
0.705,1,40.11408276,40.11408276
0.71,1,41.10755984,41.10755984
0.715,1,42.14880025,42.14880025
0.72,1,43.20914598,43.20914598
0.725,1,44.24720216,44.24720216
0.73,1,45.25341613,45.25341613
0.735,1,46.14181391,46.14181391
0.74,1,47.17668587,47.17668587
0.745,1,48.28797915,48.28797915
0.75,-1,49.36743021,49.36743021
0.755,-1,50.05522204,50.05522204
0.76,-1,50.30040709,50.30040709
0.765,-1,50.3609073,50.3609073
0.77,-1,50.19532778,50.19532778
0.775,-1,49.92466896,49.92466896
0.78,-1,49.52664129,49.52664129
0.785,-1,48.72740171,48.72740171
0.79,-1,47.93771479,47.93771479
0.795,-1,47.10344878,47.10344878
0.8,-1,46.18320879,46.18320879
0.805,-1,45.56228561,45.56228561
0.81,-1,44.57517697,44.57517697
0.815,-1,43.63264743,43.63264743
0.82,-1,42.677381,42.677381
0.825,-1,41.6074826,41.6074826
0.83,-1,40.61400552,40.61400552
0.835,-1,39.68421286,39.68421286
0.84,-1,38.70665689,38.70665689
0.845,-1,37.65904804,37.65904804
0.85,-1,36.62417608,36.62417608
0.855,-1,35.84085761,35.84085761
0.86,-1,34.67861679,34.67861679
0.865,-1,33.72653458,33.72653458
0.87,-1,32.70758373,32.70758373
0.875,-1,31.73321197,31.73321197
0.88,-1,30.70470845,30.70470845
0.885,-1,29.60615206,29.60615206
0.89,-1,28.77825449,28.77825449
0.895,-1,27.93762003,27.93762003
0.9,-1,26.81358987,26.81358987
0.905,-1,25.82329701,25.82329701
