Time,Input,Output,Reference
0,1,3.972800228,2.648533485
0.005,1,4.049221542,2.699481028
0.01,1,4.321472474,2.880981649
0.015,1,5.02836963,3.35224642
0.02,1,5.974083393,3.982722262
0.025,1,7.077416117,4.718277411
0.03,1,7.999248218,5.332832145
0.035,1,9.336621216,6.224414144
0.04,1,10.75519186,7.170127907
0.045,1,11.93016957,7.953446377
0.05,1,13.45859585,8.972397233
0.055,1,14.8628375,9.908558331
0.06,1,16.3339478,10.88929853
0.065,1,17.71908411,11.81272274
0.07,1,19.4099057,12.93993713
0.075,1,20.65652838,13.77101892
0.08,1,22.34257362,14.89504908
0.085,1,23.70860462,15.80573641
0.09,1,25.20359657,16.80239771
0.095,1,26.68903587,17.79269058
0.1,1,28.19835683,18.79890455
0.105,1,29.73633576,19.82422384
0.11,1,31.39372302,20.92914868
0.115,1,32.83617533,21.89078355
0.12,1,34.11145601,22.74097067
0.125,1,35.61600063,23.74400042
0.13,1,37.20651923,24.80434615
0.135,1,38.65852419,25.77234946
0.14,1,40.25859546,26.83906364
0.145,1,41.8538904,27.9025936
0.15,1,43.21514505,28.8100967
0.155,1,44.34713577,29.56475718
0.16,1,46.00929936,30.67286624
0.165,1,47.57115996,31.71410664
0.17,1,49.00405961,32.66937307
0.175,1,50.58502554,33.72335036
0.18,1,51.96538553,34.64359035
0.185,1,53.74218108,35.82812072
0.19,1,55.1416464,36.7610976
0.195,1,56.51723006,37.67815337
0.2,1,57.96445869,38.64297246
0.205,1,59.49766131,39.66510754
0.21,1,61.05952191,40.70634794
0.215,1,62.48764523,41.65843015
0.22,1,64.09249283,42.72832855
0.225,1,65.71644575,43.81096383
0.23,1,67.30218801,44.86812534
0.235,1,68.66344268,45.77562845
0.24,1,70.02947367,46.68631578
0.245,1,71.51968929,47.67979286
0.25,-1,73.14364221,48.76242814
0.255,-1,73.92218436,49.28145624
0.26,-1,74.7914768,49.86098453
0.265,-1,74.90133245,49.93422163
0.27,-1,74.74371348,49.82914232
0.275,-1,74.28996194,49.52664129
0.28,-1,73.36812983,48.91208655
0.285,-1,72.28867877,48.19245251
0.29,-1,71.06593773,47.37729182
0.295,-1,69.82886772,46.55257848
0.3,-1,68.60612669,45.73741779
0.305,-1,67.45025432,44.96683621
0.31,-1,66.13676297,44.09117531
0.315,-1,64.56057338,43.04038225
0.32,-1,62.9891601,41.9927734
0.325,-1,61.66611609,41.11074406
0.33,-1,60.2093348,40.13955653
0.335,-1,58.75255349,39.16836899
0.34,-1,57.2814432,38.1876288
0.345,-1,55.8389909,37.22599393
0.35,-1,54.30101195,36.20067463
0.355,-1,52.88244129,35.25496086
0.36,-1,51.38744934,34.25829956
0.365,-1,50.01186569,33.34124379
0.37,-1,48.40224176,32.26816117
0.375,-1,46.78306517,31.18871011
0.38,-1,45.52688981,30.35125987
0.385,-1,43.93637121,29.29091414
0.39,-1,42.67064319,28.44709546
0.395,-1,41.17565123,27.45043415
0.4,-1,39.72364626,26.48243084
0.405,-1,38.19999632,25.46666421
0.41,-1,36.62380671,24.41587114
0.415,-1,35.13836741,23.42557827
0.42,-1,33.6051648,22.4034432
0.425,-1,32.25823914,21.50549276
0.43,-1,30.62473355,20.41648903
0.435,-1,29.24914989,19.49943326
0.44,-1,27.61086797,18.40724531
0.445,-1,26.158863,17.439242
0.45,-1,24.60655506,16.40437004
0.455,-1,23.03991812,15.35994541
0.46,-1,21.59268948,14.39512632
0.465,-1,20.0356052,13.35707013
0.47,-1,18.72689019,12.48459346
0.475,-1,17.08383194,11.38922129
0.48,-1,15.52197134,10.34798089
0.485,-1,13.97921605,9.319477368
0.49,-1,12.36481579,8.243210527
0.495,-1,10.93669248,7.291128321
0.5,1,9.432147858,6.288098572
0.505,1,8.185525172,5.457016781
0.51,1,7.62191798,5.081278653
0.515,1,7.559825661,5.039883774
0.52,1,7.707891959,5.138594639
0.525,1,8.452999772,5.635333181
0.53,1,9.393937202,6.262624801
0.535,1,10.42084861,6.947232407
0.54,1,11.49074701,7.660498006
0.545,1,12.66572471,8.443816476
0.55,1,14.179822,9.453214668
0.555,1,15.47898434,10.31932289
0.56,1,16.99308164,11.32872109
0.565,1,18.40687595,12.27125063
0.57,1,19.81589393,13.21059595
0.575,1,21.22968824,14.15312549
0.58,1,22.66736421,15.11157614
0.585,1,24.1814615,16.12097433
0.59,1,25.70033511,17.13355674
0.595,1,27.13323476,18.08882317
0.6,1,28.77629301,19.18419534
0.605,1,30.29994296,20.19996197
0.61,1,31.88568524,21.25712349
0.615,1,33.18007124,22.12004749
0.62,1,34.75626084,23.17084056
0.625,1,36.34200311,24.22800207
0.63,1,37.80833708,25.20555805
0.635,1,39.24601305,26.1640087
0.64,1,40.85563698,27.23709132
0.645,1,42.32674728,28.21783152
0.65,1,43.56381731,29.04254487
